epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,11562.8,1.45211,1.14476,1.82662,0.82466,0.8938,0.91616,0.57399,1.34987,0.8084,1.78076,0.0004126,0.0004126,0.0004126
91,11681.5,1.44021,1.1335,1.8299,0.84093,0.88195,0.91671,0.56625,1.40602,0.80186,1.81277,0.000406,0.000406,0.000406
92,11801.1,1.44904,1.17388,1.84251,0.85437,0.87708,0.92511,0.58133,1.35867,0.79034,1.78347,0.0003994,0.0003994,0.0003994
93,11919.5,1.44061,1.07986,1.81912,0.86885,0.86959,0.92801,0.58986,1.35855,0.75266,1.78083,0.0003928,0.0003928,0.0003928
94,12039.2,1.41536,1.08831,1.80096,0.87925,0.86326,0.93269,0.58652,1.38224,0.75347,1.78917,0.0003862,0.0003862,0.0003862
95,12157.6,1.43333,1.10662,1.81308,0.88003,0.88605,0.93909,0.58981,1.37649,0.73662,1.78394,0.0003796,0.0003796,0.0003796
96,12277.4,1.41107,1.10194,1.80968,0.85173,0.864,0.91341,0.57481,1.35718,0.79078,1.77838,0.000373,0.000373,0.000373
97,12396.7,1.42347,1.11855,1.81778,0.8594,0.89608,0.9367,0.58687,1.37933,0.7512,1.78618,0.0003664,0.0003664,0.0003664
98,12515.5,1.42435,1.09916,1.80989,0.84214,0.89015,0.9211,0.59025,1.3123,0.77059,1.73801,0.0003598,0.0003598,0.0003598
99,12634.9,1.43706,1.10208,1.81567,0.85503,0.88712,0.93018,0.60876,1.28589,0.7485,1.73345,0.0003532,0.0003532,0.0003532
100,12752.2,1.42805,1.12638,1.81145,0.88509,0.88819,0.9422,0.59913,1.34227,0.71893,1.75052,0.0003466,0.0003466,0.0003466
101,12871.8,1.38391,1.06016,1.77739,0.83308,0.88651,0.89551,0.56681,1.33646,0.78797,1.75101,0.00034,0.00034,0.00034
102,12990.7,1.39997,1.08855,1.78123,0.83745,0.89745,0.8959,0.56812,1.34512,0.8065,1.75079,0.0003334,0.0003334,0.0003334
103,13111.3,1.37661,1.09608,1.7708,0.84159,0.88833,0.92141,0.59074,1.3346,0.77113,1.75111,0.0003268,0.0003268,0.0003268
104,13231.4,1.38868,1.09159,1.77572,0.86146,0.89699,0.93964,0.61259,1.2781,0.70697,1.71823,0.0003202,0.0003202,0.0003202
105,13353,1.39157,1.07549,1.77786,0.87541,0.85831,0.93237,0.60861,1.2826,0.74907,1.71082,0.0003136,0.0003136,0.0003136
